BUYERS
Name,Last_close,Target 1,Stop Loss 1,Target 2,Stop Loss 2,Target 3,Stop Loss 3,Expected Open,Expected High,Expected Low,Expected Close
NGCT,2.45,2.499,2.43989,2.53575,2.45,2.5725,2.51125,2.544,2.82616,2.44192,2.82616
APARINDS,372.8,380.256,368.712,385.848,372.8,391.44,380.256,378.541,423.923,368.712,411.981
FINANTECH,332.6,340.158,332.6,344.693,335.383,347.717,336.078,337.057,362.833,335.383,357.445
GHCL,60.1,61.2564,60.1,61.9503,60.3063,62.4128,60.3579,60.7631,64.7257,60.3063,62.3838
WINDMACHIN,36.8,37.4655,35.6445,37.8647,36.5111,38.1309,37.0889,35.9732,39.4619,35.6445,38.759
INSECTICID,458.1,466.105,458.1,470.908,458.466,474.111,458.558,464.04,490.121,458.466,477.462
SANGAMIND,85.4,86.7671,84.1902,87.5874,85.0975,88.1342,85.7025,85.9039,90.8684,84.1902,88.7591
JINDALSAW,82.7,83.9825,82.2383,84.7521,82.7,85.2651,82.7739,83.1797,87.8302,82.3306,85.8454
DPTL,159.0,161.462,158.636,162.939,159.0,163.924,159.058,159.689,168.847,158.708,166.282
PIIND,387.2,393.066,386.603,396.586,387.2,398.932,387.296,388.955,410.664,386.722,400.12
MINDTREE,975.35,989.395,975.35,997.822,977.626,1003.44,978.195,978.211,1031.53,977.626,1007.05
SPARC,184.55,187.141,184.419,188.696,184.55,189.733,184.571,185.953,194.916,184.445,193.304
UFLEX,138.4,140.097,138.4,141.114,138.746,141.793,138.833,139.867,145.186,138.746,141.855
TANLA,9.6,9.71024,9.4608,9.77638,9.5652,9.82048,9.6348,9.49568,10.041,9.4608,9.76
WABAG,1528.85,1546.36,1511.01,1556.86,1524.39,1563.86,1533.31,1542.56,1598.87,1511.01,1584.7
""
""
""
SELLERS
Name,Last_close,Target 1,Stop Loss 1,Target 2,Stop Loss 2,Target 3,Stop Loss 3,Expected Open,Expected High,Expected Low,Expected Close
NAKODA,4.6,4.508,4.70595,4.439,4.6,4.37,4.508,4.60322,4.70595,4.11347,4.17588
ATNINTER,0.55,0.538491,0.553208,0.531586,0.55,0.526982,0.549487,0.537295,0.552567,0.503965,0.52063
DEEPAKFERT,174.15,170.692,176.873,168.617,174.831,167.233,173.469,174.342,176.873,160.317,171.213
SANWARIA,8.95,8.79039,9.06396,8.69463,8.97849,8.63078,8.92151,8.96611,9.06396,8.31157,8.85215
HOVS,100.05,98.4309,104.242,97.4594,101.098,96.8117,99.002,101.331,104.242,93.5734,95.7645
KPIT,154.55,152.404,154.55,151.117,156.096,150.259,156.482,152.623,153.005,145.967,146.967
KAUSHALYA,10.05,9.92932,10.05,9.85691,10.1505,9.80863,10.1756,9.56727,9.9495,9.56727,9.56727
GOENKA,3.4,3.36192,3.51855,3.33907,3.42964,3.32384,3.37036,3.48466,3.51855,3.24768,3.41689
BINANIIND,117.75,116.494,119.579,115.74,118.207,115.238,117.293,118.382,119.579,112.726,113.35
REIAGROLTD,3.65,3.61177,3.65,3.58883,3.65085,3.57353,3.65106,3.57031,3.64915,3.49707,3.49707
WINSOMEDJ,2.2,2.17705,2.22081,2.16327,2.2,2.15409,2.19667,2.18475,2.21665,2.10819,2.10819
WINSOME,2.5,2.4759,2.58075,2.46143,2.52019,2.45179,2.47981,2.53233,2.58075,2.40358,2.48425
PRATIBHA,56.55,56.0104,57.7017,55.6867,56.8379,55.4708,56.2621,57.1136,57.7017,54.3917,55.0495
RSSOFTWARE,350.4,347.06,356.59,345.055,351.948,343.719,348.852,351.743,356.59,337.038,340.075
OILCOUNTUB,57.35,56.8267,58.7876,56.5127,57.7094,56.3034,56.9906,58.0535,58.7876,55.2567,55.7996
