Rank,Top Year Ids,"May, 2014","June, 2014","July, 2014","August, 2014",2014 Week: 25,2014 Week: 26,2014 Week: 27,2014 Week: 28,2014 Week: 29,2014 Week: 30,2014 Week: 31
1,508,209,15,49,39,483,85,513,72,106,91
2,28,393,80,39,463,384,42,789,4,98,534
3,600,327,40,3,320,803,52,38,394,18,699
4,347,479,564,35,297,55,333,36,646,19,719
5,946,136,1,795,700,7,801,542,61,797,692
6,1007,177,13,1,466,784,30,1,74,231,81
7,605,76,360,106,36,635,563,593,53,113,19
8,394,36,469,356,271,44,562,729,12,61,731
9,52,487,136,192,148,343,693,77,634,411,58
10,627,565,78,164,339,5,182,335,497,453,302
11,948,83,97,641,435,310,38,653,769,416,584
12,521,23,432,70,8,755,106,392,479,306,9
13,366,613,115,25,88,145,71,73,162,167,118
14,186,26,74,232,762,285,103,399,68,244,754
15,571,3,744,77,450,689,300,251,27,695,112
16,626,636,64,352,745,14,31,731,523,256,626
17,1141,713,44,27,93,719,34,136,625,35,237
18,704,80,352,23,338,349,21,66,69,339,98
19,1120,313,502,14,706,612,60,35,94,195,4
20,1035,682,316,20,119,524,396,378,5,3,802
21,296,60,10,267,313,15,56,577,792,118,641
22,5,566,99,53,244,673,541,202,39,184,303
23,559,160,231,156,25,62,426,311,81,512,24
24,758,22,147,144,20,475,64,722,92,633,21
25,954,219,599,89,4,69,763,792,110,693,1
26,490,9,296,103,668,95,77,257,186,679,256
27,975,415,86,361,258,33,789,122,284,260,125
28,573,131,7,297,116,546,371,561,618,30,789
29,813,30,644,284,299,109,672,658,36,324,244
30,22,63,643,117,235,517,660,84,180,29,295
31,185,418,329,10,748,288,28,488,292,15,299
32,133,14,192,766,445,348,739,582,182,771,473
33,909,35,129,179,777,70,139,733,19,585,783
34,576,434,185,68,737,90,199,795,317,53,676
35,92,40,565,21,572,507,113,52,571,11,645
36,824,202,138,494,295,154,717,132,663,219,42
37,1135,48,434,119,709,763,98,166,710,56,601
38,30,1,788,663,141,779,375,781,575,410,123
39,94,706,670,30,5,762,211,503,104,96,36
40,449,240,387,6,16,454,20,566,41,192,3
41,1023,577,3,204,802,10,54,803,793,10,53
42,468,376,17,422,771,47,290,204,740,521,160
43,423,59,121,32,270,40,588,481,2,288,34
