Rank,Top Stocks,Profit %,2014 Week: 30 rank,Profit %,2014 Week: 29 rank,Profit %,2014 Week: 28 rank,Profit %,2014 Week: 27 rank,Profit %,2014 Week: 26 rank,Profit %,2014 Week: 25 rank,Profit %,"August, 2014 rank",Profit %,"July, 2014 rank",Profit %,"June, 2014 rank",Profit %,"May, 2014 rank",Profit %,Year: 2014 rank,Profit %
32,KNRCON,8.23529,784,-11.7748,30,11.2889,614,1.26874,556,-12.7064,368,3.79913,545,-0.220459,86,5.14286,295,0.44681,7,66.9832,131,33.3827,27,175.101
33,FEDDERLOYD,8.17073,89,3.32906,465,-2.92288,308,6.41283,128,-2.7443,722,-2.37155,403,1.75795,25,11.4322,169,5.78948,292,15.5199,219,25.2427,41,155.988
34,TRIGYN,8.03921,667,-5.67765,738,-8.80913,554,2.28471,761,-19.1131,684,-1.41956,485,0.491802,273,0.181815,599,-10.066,775,-7.19756,435,13.5231,506,24.9433
35,ADANIENT,8.01568,442,-2.37957,686,-7.08456,200,8.53905,686,-15.68,74,14.0,702,-3.0897,71,5.92756,457,-5.20105,764,-6.17526,452,13.0548,183,72.4033
36,CRISIL,7.94444,676,-5.96134,473,-3.01546,541,2.53608,61,0.600003,257,5.8592,188,5.90616,26,11.1492,322,-0.619701,143,25.1187,551,7.47517,215,64.4729
37,CEATLTD,7.86472,766,-9.35567,791,-14.5933,266,7.28654,251,-5.86449,685,-1.51319,89,10.3283,124,3.72816,778,-24.1685,16,60.3072,525,9.1366,211,64.8765
38,TANLA,7.69231,54,5.42986,10,19.8864,789,-7.10661,798,-23.6162,53,16.6667,10,24.7059,370,-1.17647,202,4.29185,3,88.1356,573,6.60377,30,170.968
39,TVSMOTOR,7.68987,60,4.96552,796,-16.899,43,16.0163,562,-12.8295,276,5.55556,75,11.2069,14,16.0245,584,-9.6319,155,24.0458,122,34.5398,74,122.709
40,WHEELS,7.65292,248,-0.232095,303,-0.523423,508,3.04378,163,-3.8512,787,-7.42131,4,32.6341,72,5.83736,396,-3.08704,61,35.7483,410,14.8235,688,1.60652
41,CARBORUNIV,7.6133,528,-3.34198,427,-2.35955,498,3.21833,408,-9.30971,131,9.94656,519,0.059483,128,3.60676,313,-0.438596,603,4.66666,471,12.1429,524,23.1248
42,INOXLEISUR,7.57315,771,-10.1427,219,1.04529,121,11.0759,528,-12.0331,301,5.16234,502,0.258571,85,5.18344,491,-6.59787,331,14.0942,257,22.5594,407,35.8696
43,IIFL,7.56136,27,8.31967,116,4.01639,214,8.16681,161,-3.84,749,-3.53846,766,-6.16236,102,4.5,203,4.24604,308,15.1364,109,36.4322,144,86.0959
44,TNPL,7.51113,631,-5.00151,154,2.67081,461,3.71319,351,-7.84601,563,0.653395,668,-2.42845,100,4.58204,463,-5.354,280,15.9644,486,11.464,352,42.2316
45,AXIS-IT&T,7.49138,146,1.35542,777,-12.1778,3,37.5851,4,12.5,671,-1.19887,640,-1.76056,91,5.00723,9,49.5727,733,-2.19178,283,20.9091,82,116.369
46,PATINTLOG,7.42496,772,-10.2528,69,6.88622,81,12.8571,544,-12.4615,40,18.6898,671,-2.50482,78,5.59006,43,24.5714,273,16.2528,212,25.7143,94,106.061
47,CYIENT,7.3842,46,6.25675,185,1.79558,303,6.46803,348,-7.7451,664,-1.05634,320,3.13043,143,3.16754,145,7.48595,338,13.9194,577,6.33218,403,36.3668
48,SUZLON,7.35632,781,-11.5139,747,-9.44124,319,6.22318,628,-14.311,640,-0.53192,656,-2.26876,34,9.62442,768,-21.9424,237,18.125,15,66.6667,72,123.445
49,BHAGYNAGAR,7.35294,774,-10.2703,162,2.30547,697,-0.288191,227,-5.43478,354,4.04625,707,-3.33334,37,9.28143,548,-8.42391,328,14.2857,567,6.73401,329,44.8413
50,AEGISCHEM,7.28876,18,11.7944,250,0.42254,87,12.56,241,-5.61069,170,8.27801,267,4.23581,23,12.567,37,26.2608,94,30.4489,530,8.74269,139,89.4262
51,CAPF,7.28753,149,1.34615,667,-6.62385,524,2.77141,150,-3.51415,556,0.736169,438,1.18644,65,6.20091,68,15.8764,736,-2.24849,227,24.8688,188,71.2667
52,SUPREMEIND,7.28569,680,-6.14701,126,3.78682,305,6.43925,51,1.15207,397,3.40692,246,4.60159,114,3.99461,74,15.125,711,-0.466669,487,11.4229,342,43.1555
53,VIKASGLOB,7.17703,542,-3.48101,370,-1.58983,353,5.56553,187,-4.48029,759,-4.12186,360,2.49521,30,10.1639,216,3.91156,401,12.0,757,-7.96296,797,-78.3226
54,MUKANDLTD,7.09318,322,-1.13476,567,-4.32432,147,9.73054,683,-15.6134,526,1.1811,674,-2.55034,39,9.21986,440,-4.72973,174,22.629,414,14.5488,269,54.0
55,ORIENTCEM,6.81186,21,11.6977,630,-5.73529,90,12.4312,716,-16.5905,63,15.0773,474,0.703084,21,12.9902,142,7.70026,148,24.7242,22,60.1457,20,195.513
56,ASHAPURMIN,6.63683,715,-6.95114,718,-7.88462,103,12.0411,735,-17.5554,169,8.28981,619,-1.41025,58,6.71642,667,-13.121,698,0.126821,98,37.1279,552,20.1681
57,BROOKS,6.60592,8,16.5101,312,-0.668449,59,14.7287,700,-16.1064,79,13.7097,28,18.6538,73,5.76271,13,45.28,109,28.9641,503,10.2564,55,138.775
58,NAUKRI,6.60103,236,-0.0430399,237,0.672941,670,0.248177,18,4.27692,779,-5.76024,695,-2.90845,31,9.86131,249,2.41116,768,-6.6422,298,19.9257,229,62.1875
59,PIIND,6.55543,478,-2.74111,23,13.5656,450,3.92012,79,-0.456089,380,3.6503,684,-2.69151,147,3.04917,57,17.6479,330,14.1371,312,19.199,210,65.4968
